date,channel,campaign,visitors,leads,mqls,sqls,opportunities,customers,revenue,ad_spend
2024-01-01,Organic Search,Brand Awareness,12450,1867,934,467,280,112,336000,0
2024-01-01,Paid Search,Lead Gen Q1,8320,1248,562,281,196,98,294000,24960
2024-01-01,Social Media,Product Launch,6100,427,171,85,51,17,51000,18300
2024-01-01,Email,Newsletter Jan,4200,756,378,189,132,66,198000,1260
2024-01-01,Referral,Partner Program,2800,560,280,168,118,71,213000,0
2024-01-01,Direct,N/A,3100,248,99,50,30,12,36000,0
2024-01-01,Display Ads,Retargeting Q1,5400,324,130,65,39,12,36000,16200
2024-02-01,Organic Search,Brand Awareness,13100,1965,982,491,294,118,354000,0
2024-02-01,Paid Search,Lead Gen Q1,9100,1365,615,307,215,107,321000,27300
2024-02-01,Social Media,Product Launch,6800,476,190,95,57,19,57000,20400
2024-02-01,Email,Newsletter Feb,4500,810,405,202,141,71,213000,1350
2024-02-01,Referral,Partner Program,3100,620,310,186,130,78,234000,0
2024-02-01,Direct,N/A,3400,272,109,54,33,13,39000,0
2024-02-01,Display Ads,Retargeting Q1,5800,348,139,70,42,13,39000,17400
2024-03-01,Organic Search,SEO Push,14200,2272,1136,568,341,136,408000,0
2024-03-01,Paid Search,Lead Gen Q1,9800,1470,661,331,231,116,348000,29400
2024-03-01,Social Media,Spring Campaign,7500,600,240,120,72,24,72000,22500
2024-03-01,Email,Spring Promo,5200,1040,520,260,182,91,273000,1560
2024-03-01,Referral,Partner Program,3400,680,340,204,143,86,258000,0
2024-03-01,Direct,N/A,3700,296,118,59,36,14,42000,0
2024-03-01,Display Ads,Spring Retargeting,6200,372,149,74,45,13,39000,18600
2024-04-01,Organic Search,SEO Push,15100,2416,1208,604,362,145,435000,0
2024-04-01,Paid Search,Q2 Campaign,10500,1575,709,354,248,124,372000,31500
2024-04-01,Social Media,Spring Campaign,8200,738,295,148,89,29,87000,24600
2024-04-01,Email,April Newsletter,5600,1008,504,252,176,88,264000,1680
2024-04-01,Referral,Partner Program,3700,740,370,222,155,93,279000,0
2024-04-01,Direct,N/A,4000,320,128,64,38,15,45000,0
2024-04-01,Display Ads,Q2 Retargeting,6700,402,161,80,48,15,45000,20100
2024-05-01,Organic Search,SEO Push,16200,2592,1296,648,389,155,465000,0
2024-05-01,Paid Search,Q2 Campaign,11200,1680,756,378,265,132,396000,33600
2024-05-01,Social Media,Summer Preview,8900,890,356,178,107,35,105000,26700
2024-05-01,Email,May Newsletter,6100,1098,549,274,192,96,288000,1830
2024-05-01,Referral,Partner Program,4100,820,410,246,172,103,309000,0
2024-05-01,Direct,N/A,4300,344,138,69,41,16,48000,0
2024-05-01,Display Ads,Q2 Retargeting,7200,432,173,86,52,16,48000,21600
2024-06-01,Organic Search,Summer SEO,17500,2975,1487,744,446,178,534000,0
2024-06-01,Paid Search,Q2 Campaign,12100,1815,817,408,286,143,429000,36300
2024-06-01,Social Media,Summer Campaign,9800,1078,431,216,129,43,129000,29400
2024-06-01,Email,Summer Promo,6800,1360,680,340,238,119,357000,2040
2024-06-01,Referral,Partner Program,4600,920,460,276,193,116,348000,0
2024-06-01,Direct,N/A,4700,376,150,75,45,18,54000,0
2024-06-01,Display Ads,Summer Retargeting,7900,474,190,95,57,17,51000,23700
2024-07-01,Organic Search,Summer SEO,16800,2688,1344,672,403,161,483000,0
2024-07-01,Paid Search,Q3 Launch,11800,1770,796,398,279,139,417000,35400
2024-07-01,Social Media,Summer Campaign,9200,920,368,184,110,37,111000,27600
2024-07-01,Email,July Newsletter,6400,1152,576,288,202,101,303000,1920
2024-07-01,Referral,Partner Program,4300,860,430,258,181,108,324000,0
2024-07-01,Direct,N/A,4500,360,144,72,43,17,51000,0
2024-07-01,Display Ads,Q3 Retargeting,7500,450,180,90,54,16,48000,22500
2024-08-01,Organic Search,Back to School,18200,3094,1547,773,464,185,555000,0
2024-08-01,Paid Search,Q3 Launch,12800,1920,864,432,302,151,453000,38400
2024-08-01,Social Media,Back to School,10500,1155,462,231,139,46,138000,31500
2024-08-01,Email,August Promo,7200,1440,720,360,252,126,378000,2160
2024-08-01,Referral,Partner Program,4800,960,480,288,202,121,363000,0
2024-08-01,Direct,N/A,5000,400,160,80,48,19,57000,0
2024-08-01,Display Ads,Q3 Retargeting,8200,492,197,98,59,18,54000,24600
2024-09-01,Organic Search,Fall Push,19100,3438,1719,859,516,206,618000,0
2024-09-01,Paid Search,Q3 Launch,13500,2025,911,456,319,159,477000,40500
2024-09-01,Social Media,Fall Campaign,11200,1232,493,246,148,49,147000,33600
2024-09-01,Email,September Newsletter,7800,1560,780,390,273,137,411000,2340
2024-09-01,Referral,Partner Program,5200,1040,520,312,218,131,393000,0
2024-09-01,Direct,N/A,5400,432,173,86,52,21,63000,0
2024-09-01,Display Ads,Fall Retargeting,8900,534,214,107,64,19,57000,26700
2024-10-01,Organic Search,Fall Push,20200,4040,2020,1010,606,242,726000,0
2024-10-01,Paid Search,Q4 Campaign,14800,2220,999,500,350,175,525000,44400
2024-10-01,Social Media,Fall Campaign,12100,1452,581,290,174,58,174000,36300
2024-10-01,Email,October Newsletter,8500,1870,935,467,327,164,492000,2550
2024-10-01,Referral,Partner Program,5800,1276,638,383,268,161,483000,0
2024-10-01,Direct,N/A,5900,472,189,94,57,22,66000,0
2024-10-01,Display Ads,Q4 Retargeting,9700,582,233,116,70,21,63000,29100
2024-11-01,Organic Search,Holiday SEO,22400,4928,2464,1232,739,295,885000,0
2024-11-01,Paid Search,Black Friday,18200,3276,1474,737,516,258,774000,54600
2024-11-01,Social Media,Holiday Campaign,14800,2072,829,414,249,83,249000,44400
2024-11-01,Email,Black Friday Promo,11200,3136,1568,784,549,274,822000,3360
2024-11-01,Referral,Partner Program,6800,1768,884,530,371,223,669000,0
2024-11-01,Direct,N/A,7200,720,288,144,86,34,102000,0
2024-11-01,Display Ads,Holiday Retargeting,12400,868,347,174,104,31,93000,37200
2024-12-01,Organic Search,Holiday SEO,21100,4220,2110,1055,633,253,759000,0
2024-12-01,Paid Search,Holiday Campaign,17500,2975,1339,669,469,234,702000,52500
2024-12-01,Social Media,Holiday Campaign,13900,1946,779,389,234,78,234000,41700
2024-12-01,Email,Holiday Promo,10500,2835,1417,709,496,248,744000,3150
2024-12-01,Referral,Partner Program,6400,1600,800,480,336,202,606000,0
2024-12-01,Direct,N/A,6800,680,272,136,82,32,96000,0
2024-12-01,Display Ads,Holiday Retargeting,11600,812,325,162,97,29,87000,34800
